Symbol,Mean_Return_Annual,Std_Annual,Sharpe_Ratio,Min_Return_Daily,Max_Return_Daily
700,0.2842491924260404,0.36646466682348655,0.775652383870758,-0.2578291093020998,0.2557077678192668
856,0.20106227714869862,0.4918804800533241,0.40876246426144364,-0.4054651081081644,0.4953214372300254
3311,0.19689152051437675,0.4776382702715764,0.4122188961165692,-0.3990342177778739,0.4001600558784712
175,0.18818875807982674,0.5244484511476075,0.3588317548998929,-0.3216952250427055,0.4344526449814167
512,0.1788296410372421,0.5211213282978454,0.34316315860906876,-0.3364722366212129,0.5738004229273791
1169,0.17550287160150513,0.4817682800234808,0.364288972268891,-0.3925617032722565,0.62057648772511
1211,0.15057813759164812,0.5302937464015257,0.2839523162651704,-0.4384143485258813,0.4119481129862426
2313,0.14801863408015267,0.3360220410335907,0.44050275281006307,-0.2499417444689338,0.2760249879095681
2382,0.14160525303576235,0.4668516706222025,0.3033195808146861,-0.371063681390832,0.2895172720859581
1109,0.14143090609377185,0.4038827259983766,0.350178150709868,-0.2401079827232974,0.3280333679753484
921,0.13868246730446313,0.5208210738913045,0.2662766048775634,-0.3674377125189251,0.4602156228795726
2688,0.1382797267982651,0.3489544328028715,0.39626872106932365,-0.2966107031960823,0.2949631929499194
855,0.13287881518313788,0.38664429349186386,0.343671993663949,-0.2159381675929396,0.3184537311185346
1196,0.13209215563159524,0.40932715598280933,0.32270557597000177,-0.338737243252065,0.3787968610260032
388,0.13077696735343333,0.35836771997856065,0.3649239595610259,-0.254605127073341,0.3812508499875698
268,0.128680191459981,0.5218970894929343,0.24656238567071587,-0.4129623868863827,0.3713985535445581
2018,0.12356709299230278,0.4660649002914494,0.2651285108898594,-0.3648717111429109,0.363264753617788
371,0.12179373491898973,0.5768936824275367,0.21111989718190088,-0.4054651081081644,0.748784260865341
1226,0.11955156158595957,0.8953394524681626,0.13352652031181517,-0.8602012652231115,0.9888614247089904
874,0.1149675549811089,0.43974665197389123,0.26144043272428324,-0.3421292329363535,0.3566749439387324
2020,0.11476701099282068,0.37778363069011195,0.30379032247419335,-0.3002864271630857,0.2611904570048047
29,0.11382174253512048,0.389295310670763,0.29237892010310507,-0.262364264467491,0.4350239103497087
354,0.11150544329299053,0.39821245026086455,0.2800149599038015,-0.2971873159492091,0.4294183491306571
161,0.10914179217368483,0.4268737334619627,0.25567699208977,-0.3685215929164801,0.4806773206567761
669,0.10859741705679843,0.37307051760209464,0.2910908579825786,-0.3370121934377875,0.2537805207760994
257,0.10819969952706318,0.41308508949578415,0.2619307795861933,-0.369004073199715,0.3179457300916078
8049,0.10604973016449262,0.41567311850275407,0.2551277083937531,-0.2513144282809062,0.3690974639372895
639,0.10485589862757858,0.4929865553667584,0.21269524997405012,-0.3708595789306889,0.4585749334221128
1193,0.10450442933486924,0.36774477050279053,0.2841765205579619,-0.2900830339893189,0.3275035666384525
1882,0.10311300798549755,0.37669535147796174,0.27373050286109013,-0.2653347737597842,0.260030541121271
908,0.10215235931159647,0.3762611484618074,0.27149324273634245,-0.3007541540191338,0.4003760386006931
98,0.10211091557429613,0.3578159527066173,0.28537273087435416,-0.2181129981254935,0.291247138616277
288,0.10096515093652822,0.5530807703736006,0.18255046341301517,-0.4422790812308807,0.7985076962177716
2333,0.10005059363086082,0.5544879709373824,0.18043780726518122,-0.4239065360108871,0.4356022025284033
1114,0.09882423760897918,0.5169625934847127,0.19116322700029464,-0.5596157879354228,0.5245244681241528
590,0.09805930215070494,0.46479959560796746,0.2109711434289037,-0.385225226760418,0.4168938039317872
38,0.09701679176333353,0.46018804368689226,0.21081988785728398,-0.3632155615967238,0.386081241287116
27,0.09639665640606412,0.4900518026701035,0.1967070743966982,-0.516660546790624,0.4010887335083654
3888,0.09580432005114578,0.47754946195630404,0.20061653856477785,-0.3299575556000192,0.3801377289598774
2319,0.09417622314893109,0.3676269688099527,0.2561733255146908,-0.4113216402208772,0.2797768929446677
2899,0.09403485880598893,0.48753468025440505,0.19287829689760677,-0.45529748185604,0.386360926798122
384,0.0939394152784044,0.4310349730057479,0.21793919556766847,-0.3429447511268303,0.3533648739955684
168,0.09336183686964762,0.35037707343491725,0.26646103283635547,-0.2545298651348804,0.3011050927839216
2357,0.09210388976107362,0.4758012259380198,0.19357640279193294,-0.3925617032722565,0.4462871026284195
688,0.09177659662340873,0.3700021915311709,0.24804338656377117,-0.3112669043997373,0.2664046740044961
8236,0.09094496312114751,0.48536020276934866,0.18737622615582697,-0.3090048419206021,0.7270487322356265
3393,0.09087683894255352,0.4304954305859819,0.2110982660579086,-0.3154066204666358,0.3049238788862871
259,0.08857325715949167,0.3929788732110162,0.22538936110168667,-0.2900830339893189,0.4418327522790392
135,0.08856326023451787,0.3860035136378682,0.22943640952865543,-0.3154522281147781,0.3026348667083058
322,0.08740548793873504,0.3221293500637595,0.27133661655305474,-0.2505272126218946,0.2231435513142097
570,0.08685725985511361,0.42549196480253687,0.20413372528767376,-0.3389753668393316,0.3679820148534238
836,0.084851853608825,0.32260243530894456,0.26302297912774736,-0.2568184977961762,0.2537805207760996
2318,0.08384056525348316,0.38460597177652817,0.21799080463107828,-0.3440388830423929,0.2933478099874582
133,0.08341249081554926,0.3418208402871189,0.24402400610063843,-0.281223492412369,0.3536613806334679
966,0.08251369766532339,0.4177233552407489,0.1975319230541175,-0.2995907058211038,0.305455671535745
819,0.08189275167847233,0.4907907073521099,0.16685880651713256,-0.3694546705851313,0.4193914178063589
868,0.08188607524933521,0.45828182982128784,0.17868060638857886,-0.3499569643983766,0.3455669665270954
