Return,Std,Variance,Sharpe_Ratio
0.005693611875065131,0.07016414142491642,0.004923006741895672,0.08114703264997464
0.01108836944505463,0.07048597533942261,0.004968272719549692,0.1573131306144094
0.016483127015049524,0.07139532023469664,0.005097291751414882,0.23087125263763533
0.021877884585038445,0.07293931922979664,0.005320144289706182,0.29994637756505205
0.02727264215504658,0.07505389761259147,0.005633087546841363,0.36337409545098914
0.03266739972502975,0.07752160397599353,0.006009599083010776,0.42139736601871675
0.03806215729505753,0.08031282159274096,0.00645014931218744,0.47392379622854347
0.04345691486500102,0.0833728381838479,0.006951030146830087,0.5212358822326871
0.04885167243498917,0.08667978369426234,0.007513384901284106,0.5635878442809594
0.05424643000500702,0.09023741962250559,0.008142791900128156,0.6011522739894231
0.05964118757499304,0.094007376231676,0.008837386785963882,0.6344309347386806
0.06503594514502056,0.09797791774535715,0.009599672365715971,0.6637816626604356
0.07043070271493697,0.10225235566546573,0.0104555442391369,0.688792959893871
0.07582546028498799,0.10685979732778444,0.011419016284935168,0.7095789266041658
0.08122021785497449,0.11176591243558122,0.01249161918255801,0.7266993673208508
0.08661497542497112,0.1169342558040162,0.013673620180439095,0.7407151551050984
0.09200973299487812,0.12240477298577024,0.014982928449697947,0.7516841929487048
0.09740449056502631,0.1282365547834039,0.01644461398271695,0.7595688353414201
0.10279924813494709,0.134519332016195,0.01809545068608331,0.7641968376899977
0.10819400570492765,0.14115859393302743,0.019925748641149328,0.7664712625025168
0.11358876327492903,0.14813936379290019,0.021945271104965226,0.766769617248572
0.11898352084492714,0.1554532990544579,0.024165728186914717,0.765397206547834
0.12437827841490001,0.16315631277974077,0.0266199823998806,0.7623258720170351
0.12977303598483703,0.17131101642569074,0.02934746434880328,0.7575288425255969
0.13516779355488023,0.17994333564367754,0.03237960404257319,0.7511686557958361
0.14056255112484844,0.18888218258491424,0.03567647889804088,0.7441811038034616
0.14595730869488888,0.19801254505724933,0.039208968000049194,0.7371114221712051
0.1513520662648447,0.20731998257483183,0.042981575174828576,0.7300408980606315
0.15674682383487354,0.2170398879476447,0.04710631296032616,0.7222028416854173
0.1621415814050053,0.22727763556079822,0.05165512362610701,0.713407551099023
0.167536338974753,0.23820923317458167,0.05674363876962222,0.7033158905808111
0.17293109654491884,0.2508148948823176,0.06290811149482804,0.6894769811260936
0.17832585411446034,0.2658972142147564,0.07070132852716807,0.6706570982365856
