"Date","Price","Open","High","Low","Change %"
"04/22/2025","3.161","3.149","3.191","3.120","2.96%"
"04/17/2025","3.070","3.171","3.171","3.149","-2.20%"
"04/16/2025","3.139","3.182","3.182","3.138","-0.33%"
"04/15/2025","3.149","3.118","3.200","3.049","1.99%"
"04/14/2025","3.088","3.140","3.140","3.118","-0.64%"
"04/11/2025","3.108","3.098","3.138","3.041","1.20%"
"04/10/2025","3.071","3.118","3.140","3.101","-0.94%"
"04/09/2025","3.100","3.121","3.130","3.121","0.32%"
"04/08/2025","3.090","3.062","3.130","3.028","1.98%"
"04/07/2025","3.030","3.060","3.082","3.050","0.03%"
"04/03/2025","3.029","3.050","3.081","3.050","1.30%"
"04/02/2025","2.990","3.079","3.088","3.079","-1.90%"
"04/01/2025","3.048","3.151","3.168","3.078","-2.28%"
"03/31/2025","3.119","3.149","3.149","3.042","-0.06%"
"03/28/2025","3.121","3.222","3.222","3.151","-2.13%"
"03/27/2025","3.189","3.280","3.280","3.210","-1.88%"
"03/26/2025","3.250","3.289","3.290","3.280","0.46%"
"03/25/2025","3.235","3.341","3.341","3.278","-2.30%"
"03/24/2025","3.311","3.332","3.341","3.330","2.03%"
"03/21/2025","3.245","3.319","3.332","3.319","2.53%"
"03/20/2025","3.165","3.332","3.332","3.319","-4.03%"
"03/19/2025","3.298","3.341","3.350","3.328","-0.66%"
"03/18/2025","3.320","3.341","3.350","3.323","0.27%"
"03/17/2025","3.311","3.359","3.380","3.290","-0.54%"
"03/14/2025","3.329","3.359","3.380","3.350","0.03%"
"03/13/2025","3.328","3.400","3.400","3.358","-1.10%"
"03/12/2025","3.365","3.358","3.401","3.358","-0.30%"
"03/11/2025","3.375","3.362","3.380","3.362","1.38%"
"03/10/2025","3.329","3.332","3.370","3.319","0.82%"
"03/07/2025","3.302","3.341","3.341","3.301","4.33%"
"03/06/2025","3.165","3.332","3.341","3.330","-4.03%"
"03/05/2025","3.298","3.349","3.349","3.328","-0.63%"
"03/04/2025","3.319","3.428","3.441","3.349","-1.07%"
"03/03/2025","3.355","3.439","3.450","3.430","-1.56%"
"02/28/2025","3.408","3.429","3.460","3.429","0.29%"
"02/27/2025","3.398","3.428","3.441","3.428","-0.09%"
"02/26/2025","3.401","3.410","3.470","3.410","0.56%"
"02/25/2025","3.382","3.462","3.580","3.410","-1.46%"
"02/24/2025","3.432","3.479","3.479","3.462","-0.58%"
"02/21/2025","3.452","3.482","3.482","3.469","0.04%"
"02/20/2025","3.451","3.459","3.480","3.459","0.54%"
"02/19/2025","3.432","3.470","3.474","3.462","-0.23%"
"02/18/2025","3.440","3.399","3.470","3.378","2.11%"
"02/17/2025","3.369","3.381","3.580","3.381","-0.35%"
"02/14/2025","3.381","3.381","3.381","3.359","0.03%"
"02/13/2025","3.380","3.332","3.380","3.332","1.56%"
"02/12/2025","3.328","3.319","3.340","3.319","0.54%"
"02/11/2025","3.310","3.349","3.370","3.310","-1.19%"
"02/10/2025","3.350","3.350","3.370","3.332","0.00%"
"02/07/2025","3.350","3.319","3.350","3.319","0.93%"
"02/06/2025","3.319","3.302","3.319","3.289","-3.24%"
"02/05/2025","3.430","3.302","3.430","3.289","3.97%"
