Date,HSI_Return
2005-02-28,0.03393665363564361
2005-03-31,-0.048975171437448235
2005-04-30,0.028594680993091978
2005-05-31,-0.003016991031260337
2005-06-30,0.02379964499395969
2005-07-31,0.0467672777427867
2005-08-31,0.0015155521554365606
2005-09-30,0.034618305123270195
2005-10-31,-0.06993651416612756
2005-11-30,0.03756949841900958
2005-12-31,-0.004072647718045091
2006-01-31,0.057261629215576204
2006-02-28,0.0104409879906158
2006-03-31,-0.007151821961998519
2006-04-30,0.05275978839785698
2006-05-31,-0.049421496642743486
2006-06-30,0.025509460766910304
2006-07-31,0.04234940997332233
2006-08-31,0.024499815632982397
2006-09-30,0.008632005445266292
2006-10-31,0.04357291639248752
2006-11-30,0.034126036486985395
2006-12-31,0.05160990291177389
2007-01-31,0.007072451177940457
2007-02-28,-0.022884986905254145
2007-03-31,0.00757472614784158
2007-04-30,0.025826518305565805
2007-05-31,0.015407553758110938
2007-06-30,0.053695290955457435
2007-07-31,0.06284466064642884
2007-08-31,0.033889848608041236
2007-09-30,0.12370688127753653
2007-10-31,0.14419690049790557
2007-11-30,-0.09036617870830235
2007-12-31,-0.029439428464819038
2008-01-31,-0.17037571211143757
2008-02-29,0.03666355292060399
2008-03-31,-0.06286268819311136
2008-04-30,0.11972626673306683
2008-05-31,-0.048618331142724874
2008-06-30,-0.10435548676250914
2008-07-31,0.028065476271957254
2008-08-31,-0.06681776258221159
2008-09-30,-0.16564436010912403
2008-10-31,-0.2544549434667605
2008-11-30,0.22948976138544178
2008-12-31,-0.19994834216206742
2009-01-31,-0.08023403814467932
2009-02-28,-0.03577567690845832
2009-03-31,0.05795633222049069
2009-04-30,0.1338883002616376
2009-05-31,0.15763361528646339
2009-06-30,0.011367101028928104
2009-07-31,0.11280155910895437
2009-08-31,-0.04214977555482317
2009-09-30,0.060543410382780834
2009-10-31,0.03735649121975518
2009-11-30,0.0031500194609411377
2009-12-31,0.0023344176848262956
2010-01-31,-0.0834168930970392
2010-02-28,0.023900069835125482
2010-03-31,0.03014227653256433
2010-04-30,-0.006175526628559395
2010-05-31,-0.06575775698574064
2010-06-30,0.018238754868470628
2010-07-31,0.04377989043837607
2010-08-31,-0.023737651139705728
2010-09-30,0.08498849853980955
2010-10-31,0.03248149511609201
2010-11-30,-0.0038317505705660147
2010-12-31,0.001192786779428462
2011-01-31,0.01772272193593905
2011-02-28,-0.004673265267465578
2011-03-31,0.008087009464501336
2011-04-30,0.008181922124945215
2011-05-31,-0.0015475183523128383
2011-06-30,-0.05582906975726317
2011-07-31,0.0018800875775195382
2011-08-31,-0.08873277863245756
2011-09-30,-0.15465588375086178
2011-10-31,0.12148528604289807
2011-11-30,-0.09917292894627658
2011-12-31,0.02443802578050527
2012-01-31,0.10085067377934118
2012-02-29,0.061325250915987846
2012-03-31,-0.053261429670950135
2012-04-30,0.025866158311845026
2012-05-31,-0.12425117585618622
2012-06-30,0.042660479706624864
2012-07-31,0.018112914516718065
2012-08-31,-0.016000593912416775
2012-09-30,0.06737223118682062
2012-10-31,0.03773510306980052
2012-11-30,0.017795309835852348
2012-12-31,0.028042460241840397
2013-01-31,0.04625494006749207
2013-02-28,-0.030345131942660968
2013-03-31,-0.03180504575614285
2013-04-30,0.019423906909491036
2013-05-31,-0.015283095712966797
2013-06-30,-0.07359975032054547
2013-07-31,0.05062909233973698
2013-08-31,-0.006983400855376224
2013-09-30,0.050625695352926936
2013-10-31,0.015044275837180586
2013-11-30,0.028668497215249365
2013-12-31,-0.0243677352665401
2014-01-31,-0.05607641320159887
2014-02-28,0.0357291174066411
2014-03-31,-0.03049492522779367
2014-04-30,-0.0007718184157662612
2014-05-31,0.04192439709170165
2014-06-30,0.0047142690984097275
2014-07-31,0.0653500197474343
2014-08-31,-0.0005975889343881451
2014-09-30,-0.07592858028821527
2014-10-31,0.04539694457166698
2014-11-30,-0.000442216834744711
2014-12-31,-0.016070528359625268
2015-01-31,0.037500582706110876
2015-02-28,0.012821494124360336
2015-03-31,0.0031212204202607906
2015-04-30,0.12203971871859264
2015-05-31,-0.025517793892968568
2015-06-30,-0.04375833873528631
2015-07-31,-0.06344697865250301
2015-08-31,-0.12826457293847152
2015-09-30,-0.038779105839450635
2015-10-31,0.08254354565417632
2015-11-30,-0.02884030727380441
2015-12-31,-0.003735757855966283
2016-01-31,-0.10738304739389207
2016-02-29,-0.02944816019775313
2016-03-31,0.08351941911877445
2016-04-30,0.013878042006452557
2016-05-31,-0.012032004079145248
2016-06-30,-0.0009959274507591437
2016-07-31,0.051410218240141234
2016-08-31,0.04839599773608838
2016-09-30,0.013842542525671148
2016-10-31,-0.015686964327610915
2016-11-30,-0.006332320105081254
2016-12-31,-0.03524384348117989
2017-01-31,0.05999064023372874
2017-02-28,0.01613359068460417
2017-03-31,0.015500499260008403
2017-04-30,0.02066865677058836
2017-05-31,0.0415973955927925
2017-06-30,0.004041990342014496
2017-07-31,0.05876439042736355
2017-08-31,0.02337816204305735
2017-09-30,-0.014984629659426854
2017-10-31,0.02477696574797136
2017-11-30,0.03245715432099781
2017-12-31,0.02510602026831262
2018-01-31,0.094586909191556
2018-02-28,-0.06412006782927372
2018-03-31,-0.024660370963022045
2018-04-30,0.023483788990540086
2018-05-31,-0.011093670720380417
2018-06-30,-0.05094863261225861
2018-07-31,-0.01293421430837664
2018-08-31,-0.024596275033292776
2018-09-30,-0.0035932245581928157
2018-10-31,-0.10655989107663517
2018-11-30,0.05933632284596064
2018-12-31,-0.025255174714758338
2019-01-31,0.07800351082001117
2019-02-28,0.024418431600034592
